occ_year,occ_hour,premises_type,age_cohort
2014,17,Apartment,25 to 34
2014,8,Outside,45 to 54
2014,15,Apartment,25 to 34
2014,15,Commercial,35 to 44
2014,10,Other,65 and above
2014,8,Apartment,35 to 44
2014,16,Apartment,25 to 34
2014,12,Apartment,35 to 44
2014,18,House,25 to 34
2014,13,Apartment,65 and above
2014,7,Commercial,25 to 34
2014,10,Commercial,45 to 54
2014,14,Apartment,45 to 54
2014,8,House,18 to 24
2014,20,House,65 and above
2014,17,Apartment,25 to 34
2014,5,Apartment,25 to 34
2014,11,Commercial,55 to 64
2014,11,Educational,45 to 54
2014,7,House,18 to 24
2014,20,Outside,45 to 54
2014,17,Apartment,65 and above
2014,12,Other,25 to 34
2014,11,House,18 to 24
2014,9,House,18 to 24
2014,5,Commercial,35 to 44
2014,2,Outside,45 to 54
2014,17,Other,18 to 24
2014,12,Apartment,35 to 44
2014,1,Other,18 to 24
2014,19,House,45 to 54
2014,11,Apartment,35 to 44
2014,19,House,18 to 24
2014,17,House,35 to 44
2014,8,Apartment,35 to 44
2014,20,Apartment,35 to 44
2014,17,Apartment,18 to 24
2014,21,House,25 to 34
2014,1,House,35 to 44
2014,9,House,65 and above
2014,4,House,45 to 54
2014,1,Educational,25 to 34
2014,16,Other,18 to 24
2014,22,Apartment,25 to 34
2014,19,House,35 to 44
2014,13,Apartment,65 and above
2014,20,House,25 to 34
2014,18,Outside,45 to 54
2014,9,Apartment,18 to 24
2014,18,House,18 to 24
2014,15,House,18 to 24
2014,23,House,25 to 34
2014,14,House,25 to 34
2014,15,Other,25 to 34
2014,1,Other,55 to 64
2014,11,Other,45 to 54
2014,19,Other,35 to 44
2014,17,Apartment,18 to 24
2014,11,Educational,18 to 24
2014,10,Apartment,35 to 44
2014,11,Apartment,35 to 44
2014,19,House,25 to 34
2014,12,Apartment,35 to 44
2014,11,Outside,25 to 34
2014,2,House,45 to 54
2014,11,Other,65 and above
2014,1,Apartment,65 and above
2014,22,House,35 to 44
2014,11,Other,35 to 44
2014,3,Apartment,35 to 44
2014,11,Other,65 and above
2014,10,Apartment,35 to 44
2014,13,Other,18 to 24
2014,15,Educational,18 to 24
2014,14,Educational,18 to 24
2014,12,Apartment,25 to 34
2014,4,Apartment,18 to 24
2014,13,Apartment,18 to 24
2014,13,Apartment,Not Recorded
2014,18,Commercial,35 to 44
2014,10,Apartment,35 to 44
2014,14,Apartment,25 to 34
2014,12,House,35 to 44
2014,17,Other,18 to 24
2014,19,Commercial,35 to 44
2014,15,Commercial,45 to 54
2014,16,House,55 to 64
2014,11,Outside,45 to 54
2014,1,Apartment,45 to 54
2014,18,Apartment,45 to 54
2014,20,House,25 to 34
2014,11,Apartment,65 and above
2014,5,Commercial,45 to 54
2014,21,House,25 to 34
2014,15,Apartment,55 to 64
2014,10,Other,35 to 44
2014,13,Apartment,35 to 44
2014,16,Other,45 to 54
2014,10,House,55 to 64
2014,19,House,35 to 44
2012,16,Other,45 to 54
2014,17,Commercial,25 to 34
2014,13,Apartment,18 to 24
2014,13,Other,25 to 34
2014,13,Apartment,45 to 54
2014,14,Apartment,65 and above
2014,13,Other,45 to 54
2014,1,Apartment,45 to 54
2014,15,House,25 to 34
2014,9,Other,18 to 24
2014,21,House,25 to 34
2014,10,Other,65 and above
2014,16,Apartment,35 to 44
2014,11,Commercial,25 to 34
2014,20,Apartment,25 to 34
2014,9,Apartment,45 to 54
2014,22,Commercial,18 to 24
2014,2,House,18 to 24
2014,23,House,18 to 24
2014,23,Commercial,55 to 64
2014,13,Apartment,45 to 54
2014,20,House,18 to 24
2014,14,Other,45 to 54
2014,8,Apartment,45 to 54
2014,18,Transit,45 to 54
2014,1,Apartment,18 to 24
2014,11,Other,35 to 44
2014,12,House,45 to 54
2014,13,House,35 to 44
2014,21,House,55 to 64
2014,13,Other,25 to 34
2014,16,House,35 to 44
2014,19,Outside,25 to 34
2014,13,Commercial,25 to 34
2014,11,House,45 to 54
2014,1,Transit,18 to 24
2014,12,Outside,18 to 24
2014,9,Apartment,55 to 64
2014,12,Apartment,65 and above
2014,12,Educational,25 to 34
2014,16,Apartment,18 to 24
2014,10,House,18 to 24
2014,15,Apartment,35 to 44
2014,15,Apartment,18 to 24
2014,15,Apartment,Not Recorded
2014,17,Apartment,Not Recorded
2014,10,Apartment,Not Recorded
2014,10,Apartment,Not Recorded
2014,5,Apartment,Not Recorded
2014,17,Apartment,35 to 44
2014,11,Apartment,55 to 64
2014,12,Commercial,45 to 54
2014,18,Other,55 to 64
2014,23,Apartment,35 to 44
2014,22,Apartment,45 to 54
2014,2,House,18 to 24
2014,20,Commercial,45 to 54
2014,11,Outside,45 to 54
2014,21,Outside,45 to 54
2014,15,Apartment,45 to 54
2014,2,House,18 to 24
2014,17,Other,25 to 34
2014,22,Apartment,25 to 34
2014,16,Other,45 to 54
2014,11,Apartment,18 to 24
2014,16,Apartment,35 to 44
2014,18,Apartment,45 to 54
2014,17,Commercial,35 to 44
2014,17,Apartment,18 to 24
2014,12,Apartment,65 and above
2014,23,Other,18 to 24
2014,17,House,45 to 54
2014,11,House,18 to 24
2014,9,Apartment,35 to 44
2014,10,Apartment,Not Recorded
2014,17,House,55 to 64
2014,15,Other,25 to 34
2014,22,Apartment,35 to 44
2014,13,Other,55 to 64
2014,13,Apartment,Not Recorded
2014,13,Apartment,65 and above
2014,15,Other,45 to 54
2014,13,Other,45 to 54
2014,13,House,55 to 64
2014,11,House,25 to 34
2014,4,Apartment,18 to 24
2014,16,Apartment,25 to 34
2014,15,Apartment,55 to 64
2014,19,Commercial,65 and above
2014,23,Apartment,18 to 24
2014,15,Apartment,25 to 34
2014,22,Outside,35 to 44
2014,8,Apartment,18 to 24
2014,7,Apartment,55 to 64
2014,12,House,35 to 44
2014,18,Other,25 to 34
2014,22,Other,45 to 54
2014,19,House,25 to 34
2014,12,Commercial,45 to 54
2014,12,Other,Not Recorded
2014,4,Apartment,25 to 34
2014,18,Apartment,18 to 24
2014,2,House,18 to 24
2014,20,House,25 to 34
2014,21,Other,Not Recorded
2014,22,Apartment,45 to 54
2014,21,Transit,25 to 34
2014,7,House,25 to 34
2014,11,Other,45 to 54
2014,18,Apartment,45 to 54
2014,13,Apartment,55 to 64
2014,4,Apartment,Not Recorded
2014,15,Apartment,18 to 24
2014,13,Apartment,45 to 54
2014,10,House,18 to 24
2014,12,Apartment,25 to 34
2014,20,Other,18 to 24
2014,14,Apartment,55 to 64
2014,4,Other,45 to 54
2014,22,Transit,35 to 44
2014,1,Commercial,Not Recorded
2014,4,Outside,25 to 34
2014,10,Other,18 to 24
2014,12,House,55 to 64
2014,14,Apartment,55 to 64
2014,18,House,35 to 44
2014,22,Transit,65 and above
2014,14,House,25 to 34
2014,10,Apartment,25 to 34
2014,12,Other,25 to 34
2014,18,Apartment,45 to 54
2014,23,House,45 to 54
2014,17,Apartment,35 to 44
2014,11,House,18 to 24
2014,12,Transit,25 to 34
2014,11,Other,45 to 54
2014,17,Commercial,45 to 54
2014,16,Apartment,65 and above
2014,16,Commercial,35 to 44
2014,13,Apartment,18 to 24
2014,15,Apartment,55 to 64
2014,15,Other,45 to 54
2014,18,Other,55 to 64
2014,20,Other,25 to 34
2014,13,Apartment,18 to 24
2014,15,House,18 to 24
2014,17,Apartment,25 to 34
2014,20,House,18 to 24
2014,22,Apartment,18 to 24
2014,6,Apartment,55 to 64
2014,20,Apartment,45 to 54
2014,19,Apartment,55 to 64
2014,11,Other,25 to 34
2014,13,Other,45 to 54
2014,16,Apartment,18 to 24
2014,7,House,45 to 54
2014,14,House,65 and above
2014,16,Other,18 to 24
2014,9,Other,65 and above
2014,11,Apartment,45 to 54
2014,3,Other,45 to 54
2014,17,House,45 to 54
2014,23,Apartment,35 to 44
2014,21,House,18 to 24
2014,21,Apartment,65 and above
2014,16,Apartment,45 to 54
2014,14,Outside,25 to 34
2014,13,Educational,25 to 34
2014,14,Apartment,65 and above
2014,18,Outside,Not Recorded
2014,14,Other,35 to 44
2014,12,Transit,18 to 24
2014,13,Apartment,25 to 34
2014,19,Apartment,18 to 24
2014,9,Apartment,25 to 34
2014,12,Educational,18 to 24
2014,17,House,18 to 24
2014,16,Commercial,45 to 54
2014,7,Apartment,25 to 34
2014,16,Apartment,18 to 24
2014,10,Apartment,55 to 64
2014,3,Other,65 and above
2014,19,House,25 to 34
2014,8,Apartment,65 and above
2014,7,Apartment,45 to 54
2014,13,Apartment,45 to 54
2014,13,Other,55 to 64
2014,23,Apartment,25 to 34
2014,8,Apartment,65 and above
2014,17,Apartment,35 to 44
2014,16,Commercial,45 to 54
2014,17,Other,45 to 54
2014,3,Apartment,35 to 44
2014,2,House,25 to 34
2014,17,House,18 to 24
2014,12,Other,Not Recorded
2014,1,Apartment,25 to 34
2014,12,Other,55 to 64
2014,17,Apartment,45 to 54
2014,21,Outside,25 to 34
2014,14,Apartment,35 to 44
2014,18,Apartment,35 to 44
2014,6,Apartment,18 to 24
2014,12,House,45 to 54
2014,22,Apartment,25 to 34
2014,10,House,25 to 34
2013,21,Commercial,35 to 44
2014,18,Other,55 to 64
2014,15,Apartment,55 to 64
2014,8,Other,Not Recorded
2014,11,House,65 and above
2014,14,Apartment,45 to 54
2014,11,Other,45 to 54
2014,13,Apartment,65 and above
2014,13,House,45 to 54
2014,16,Apartment,25 to 34
2014,1,Apartment,18 to 24
2014,18,Apartment,65 and above
2014,18,Apartment,Not Recorded
2014,13,Outside,35 to 44
2014,1,House,45 to 54
2014,7,Outside,18 to 24
2014,6,Other,65 and above
2014,21,Other,25 to 34
2014,2,House,25 to 34
2014,14,Apartment,Not Recorded
2014,14,Outside,55 to 64
2014,16,Outside,35 to 44
2014,23,Outside,25 to 34
2014,8,House,25 to 34
2014,10,Apartment,45 to 54
2014,23,Apartment,18 to 24
2014,10,Apartment,18 to 24
2014,1,Apartment,65 and above
2014,15,Apartment,35 to 44
2014,14,House,65 and above
2014,2,Apartment,35 to 44
2014,17,Outside,65 and above
2014,23,Apartment,18 to 24
2014,13,Outside,65 and above
2014,17,Apartment,18 to 24
2014,11,House,35 to 44
2014,17,House,35 to 44
2014,14,Apartment,18 to 24
2014,10,Commercial,25 to 34
2014,19,House,25 to 34
2014,10,Apartment,18 to 24
2014,10,House,65 and above
2014,8,Apartment,Not Recorded
2014,5,House,45 to 54
2014,11,Apartment,45 to 54
2014,16,Apartment,18 to 24
2014,15,House,25 to 34
2014,11,Outside,Not Recorded
2014,3,Other,25 to 34
2014,1,Commercial,25 to 34
2014,20,Apartment,45 to 54
2014,14,Outside,45 to 54
2014,13,House,55 to 64
2014,8,Apartment,55 to 64
2014,17,Outside,35 to 44
2014,19,Other,45 to 54
